iter	MultiClass
771	0.01040275453
772	0.01036893193
773	0.01035833725
774	0.01034413227
775	0.01031272098
776	0.01029684001
777	0.01028436757
778	0.0102753122
779	0.01026263203
780	0.010250534
781	0.01023617772
782	0.01021016316
783	0.01019921891
784	0.01018995789
785	0.01017839827
786	0.01016240285
787	0.01014927189
788	0.01013183323
789	0.01012025971
790	0.0101027302
791	0.0100904183
792	0.01007463995
793	0.0100557076
794	0.01003361451
795	0.009996799929
796	0.009980297214
797	0.009969973006
798	0.009965159119
799	0.009955933576
800	0.009932470021
801	0.00992037203
802	0.009902173162
803	0.009870881876
804	0.009847086088
805	0.009821716663
806	0.009805756271
807	0.009789626078
808	0.009778802264
809	0.009766093066
810	0.009744139581
811	0.009731056541
812	0.00972262504
813	0.009714774151
814	0.009700450378
815	0.009694461728
816	0.00967991791
817	0.009667263736
818	0.009657043809
819	0.00964113752
820	0.009630106516
821	0.009621252341
822	0.009612968431
823	0.009601955138
824	0.009582966554
825	0.009562560322
826	0.009549114375
827	0.009538173541
828	0.00951604757
829	0.009482024129
830	0.00946723878
831	0.009454999231
832	0.009436443976
833	0.00941485633
834	0.009394857302
835	0.009387250834
836	0.009362517704
837	0.009353174169
838	0.009333893333
839	0.009320807345
840	0.009314196923
841	0.009300960293
842	0.009292896129
843	0.009274985717
844	0.00925460461
845	0.009248324927
846	0.009243553007
847	0.009234390443
848	0.009224121054
849	0.009209410189
850	0.009193183743
851	0.009180018603
852	0.009168608409
853	0.009142775848
854	0.009126902429
855	0.009113721399
856	0.009099972498
857	0.009080595969
858	0.009073440772
859	0.009068203993
860	0.009060756471
861	0.009046890544
862	0.009032820324
863	0.009015883986
864	0.008974986916
865	0.008970428714
866	0.008962908608
867	0.008949796088
868	0.008934651883
869	0.008921760782
870	0.00890781589
871	0.008899402783
872	0.008887293224
873	0.008878236288
874	0.008872592412
875	0.008861013576
876	0.008853930784
877	0.008845778432
878	0.008838737817
879	0.008825404498
880	0.008816313072
881	0.008802909841
882	0.008795878318
883	0.008779954838
884	0.008772810044
885	0.008767315583
886	0.008762837738
887	0.008742321004
888	0.00873608329
889	0.008724786491
890	0.008715881076
891	0.008697525706
892	0.008688423031
893	0.008679908718
894	0.008665495025
895	0.008656203069
896	0.00863965942
